date,temperature
2025-02-20,3.75
2025-02-28,3.6
2025-03-01,0.7142857142857143
2025-03-02,2.142857142857143
2025-03-03,4.0
2025-03-04,4.285714285714286
2025-03-05,5.285714285714286
2025-03-06,6.857142857142857
2025-03-07,6.0
2025-03-08,8.142857142857142
2025-03-09,5.285714285714286
2025-03-10,6.714285714285714
2025-03-11,0.8571428571428571
2025-03-12,-1.2857142857142858
2025-03-13,-0.8571428571428571
2025-03-14,-0.2857142857142857
2025-03-15,4.285714285714286
2025-03-16,1.0
2025-03-17,1.7142857142857142
2025-03-18,6.0
2025-03-19,7.857142857142857
2025-03-20,5.142857142857143
2025-03-21,5.285714285714286
2025-03-22,5.142857142857143
2025-03-23,6.571428571428571
2025-03-24,4.0
2025-03-25,5.428571428571429
2025-03-26,8.571428571428571
2025-03-27,9.428571428571429
2025-03-28,5.285714285714286
2025-03-29,11.0
2025-03-30,9.0
2025-03-31,10.0
2025-04-01,11.571428571428571
2025-04-02,15.571428571428571
2025-04-03,16.285714285714285
2025-04-04,9.428571428571429
2025-04-05,1.2857142857142858
2025-04-06,3.142857142857143
2025-04-07,7.428571428571429
2025-04-08,6.857142857142857
2025-04-09,4.857142857142857
2025-04-10,2.5714285714285716
2025-04-11,0.5714285714285714
2025-04-12,5.142857142857143
2025-04-13,14.0
2025-04-14,12.285714285714286
2025-04-15,16.0
2025-04-16,17.285714285714285
2025-04-17,11.714285714285714
2025-04-18,11.571428571428571
2025-04-19,19.428571428571427
2025-04-20,8.0
2025-04-21,6.0
2025-04-22,6.285714285714286
2025-04-23,8.285714285714286
2025-04-24,9.857142857142858
2025-04-25,7.0
2025-04-26,8.142857142857142
2025-04-27,10.142857142857142
2025-04-28,14.142857142857142
2025-04-29,14.285714285714286
2025-04-30,7.571428571428571
2025-05-01,10.428571428571429
2025-05-02,12.857142857142858
2025-05-03,12.714285714285714
2025-05-04,10.428571428571429
2025-05-05,9.714285714285714
2025-05-06,7.285714285714286
