date,temperature
2025-02-20,5.0
2025-03-01,6.0
2025-03-02,2.0
2025-03-03,4.0
2025-03-04,3.857142857142857
2025-03-05,5.285714285714286
2025-03-06,6.142857142857143
2025-03-07,5.857142857142857
2025-03-08,7.285714285714286
2025-03-09,4.571428571428571
2025-03-10,5.857142857142857
2025-03-11,1.2857142857142858
2025-03-12,-1.4285714285714286
2025-03-13,-0.5714285714285714
2025-03-14,-1.2857142857142858
2025-03-15,3.142857142857143
2025-03-16,0.42857142857142855
2025-03-17,1.2857142857142858
2025-03-18,5.571428571428571
2025-03-19,6.714285714285714
2025-03-20,4.571428571428571
2025-03-21,4.0
2025-03-22,2.5714285714285716
2025-03-23,3.857142857142857
2025-03-24,3.0
2025-03-25,5.428571428571429
2025-03-26,7.714285714285714
2025-03-27,6.714285714285714
2025-03-28,5.571428571428571
2025-03-29,8.285714285714286
2025-03-30,7.857142857142857
2025-03-31,9.857142857142858
2025-04-01,9.714285714285714
2025-04-02,14.0
2025-04-03,13.571428571428571
2025-04-04,8.0
2025-04-05,1.0
2025-04-06,3.857142857142857
2025-04-07,5.714285714285714
2025-04-08,4.285714285714286
2025-04-09,4.285714285714286
2025-04-10,0.7142857142857143
2025-04-11,1.0
2025-04-12,5.714285714285714
2025-04-13,10.714285714285714
2025-04-14,11.857142857142858
2025-04-15,12.571428571428571
2025-04-16,14.0
2025-04-17,11.857142857142858
2025-04-18,11.857142857142858
2025-04-19,18.285714285714285
2025-04-20,8.285714285714286
2025-04-21,6.428571428571429
2025-04-22,6.571428571428571
2025-04-23,9.0
2025-04-24,7.142857142857143
2025-04-25,6.142857142857143
2025-04-26,7.428571428571429
2025-04-27,6.857142857142857
2025-04-28,11.857142857142858
2025-04-29,13.285714285714286
2025-04-30,7.857142857142857
2025-05-01,10.5
2025-05-02,12.0
2025-05-03,11.714285714285714
2025-05-04,9.714285714285714
2025-05-05,7.857142857142857
2025-05-06,6.857142857142857
2025-05-07,6.714285714285714
2025-05-08,7.142857142857143
2025-05-09,10.0
2025-05-10,11.142857142857142
2025-05-11,12.0
2025-05-12,15.285714285714286
2025-05-13,16.0
2025-05-14,10.857142857142858
2025-05-15,13.0
2025-05-16,18.142857142857142
2025-05-17,14.0
2025-05-18,16.714285714285715
2025-05-19,18.571428571428573
2025-05-20,19.142857142857142
2025-05-21,15.428571428571429
2025-05-22,15.571428571428571
2025-05-23,11.285714285714286
2025-05-24,14.142857142857142
2025-05-25,15.714285714285714
2025-05-26,15.142857142857142
2025-05-27,17.428571428571427
2025-05-28,17.571428571428573
2025-05-29,18.857142857142858
2025-05-30,19.285714285714285
2025-05-31,17.0
2025-06-01,19.0
2025-06-02,14.428571428571429
2025-06-03,18.142857142857142
2025-06-04,18.625
